ID	Mode	Molecular Weight	m/z	ion	RT [min]	Name	Formula	MA	MB	MC	MD	OA	OB	OC	OD
446	p	174.064	175.07127	M+H	3.806	formyl-isoglutamine	C6 H10 N2 O4	83722.79835	64668.09597		70184.79291	110184.6082		15205.70051	35080.71865
447	p	90.04753	91.05482	M+H	0.877	91.05482_0.877		6531.429229	43937.72665		4453.600032	2759.952037		6112.551078	110683.3756
448	p	171.12601	172.13319	M+H	4.502	Gabapentin	C9 H17 N O2	49827.22588	76194.61577		102516.1914	57111.85693		64426.91212	38635.32222
449	p	231.15846	232.16574	M+H	4.094	g-Aminobutyryl-lysine	C10 H21 N3 O3	39614.43536	75783.79509		40722.39426	5879.277364		69710.52859	48751.02149
450	p	205.11368	206.12099	M+H	4.312	tetrahomomethionine	C9 H19 N O2 S	53794.23349	75665.4633		65433.5153	5707.650156		88727.48887	49981.09149
451	p	241.95471	242.96201	M+H	4.43	242.96201_4.43	C3 H N8 P3	82150.85321	62764.88669		36821.97707	75667.78589		20999.54407	46253.86789
452	p	154.07419	155.08151	M+H	3.626	155.08151_3.626	C7 H10 N2 O2	60184.38129	18797.68768		12004.00296	126630.9282		5318.783067	24034.3697
453	p	202.09526	203.10249	M+H	3.381	Proclavaminicacid	C8 H14 N2 O4	29980.75112	31919.25697		17790.48273	49901.83061		90656.99219	28639.28537
454	p	197.05489	198.062	M+H	0.938	198.06200_0.938	C6 H7 N5 O3	9310.548317	8878.219791		32312.71292	13277.40697		90020.65981	8294.00719
455	p	140.13132	141.1386	M+H	4.429	141.13860_4.429	C8 H16 N2	77726.28801	11946.94859		29837.15189	3419.980608		1819.168981	13687.89225
456	p	217.14264	218.15002	M+H	4.139	gamma-L-Glutamylputrescine	C9 H19 N3 O3	24428.65494	71417.50841		20797.18172	1629.064279		66073.65743	35834.01878
457	p	300.2049	301.21213	M+H	3.821	301.21213_3.821	C15 H28 N2 O4	39516.14219	70883.98179		30663.46851	1022.388534		68430.97121	18309.96433
458	p	252.08728	253.09454	M+H	3.412	253.09454_3.412	C11 H8 N8	12106.93399	38365.25626		24413.53656	706.834605		87284.11317	20409.08172
459	p	224.12728	225.13455	M+H	3.35	255.13455_3.35	C10 H16 N4 O2	73127.24113	69038.728		19373.5786	48805.27663		13485.19775	30681.47369
460	p	274.16402	275.17133	M+H	3.332	gln-lys	C11 H22 N4 O4	3977.098319	5061.46017		2228.227851	117711.3582		3268.322612	2932.452169
461	p	217.17912	218.1864	M+H	3.653	deoxyhypusine	C10 H23 N3 O2	57355.55212	68100.22201		54428.9951	66935.3493		54950.24824	46164.24195
462	p	134.10948	135.11678	M+H	0.877	p-cymene	C10 H14	3859.631594	41859.01177		3709.663875	3383.713203		4693.471913	97415.99509
463	p	219.11073	220.11804	M+H	3.94	Pantothenicacid(VitaminB5)	C9 H17 N O5	16822.74548	31530.65109		32270.58129	6042.92233		83435.26058	34797.90234
464	p	120.08159	121.08888	M+H	4.541	121.08888_4.541	C4 H13 N2 P	10764.70599	28703.11608		21598.61283	806.0249496		83247.131	15896.70578
465	p	106.07858	107.08587	M+H	0.873	p-Xylene	C8 H10	6166.490244	43526.90924		3312.791112	4784.028204		5843.794906	93819.09487
466	p	248.17368	249.18092	M+H	3.795	249.18092_3.795	C13 H29 P S	4721.083766	6776.30568		8169.179329	690.4949054		80608.52698	2062.523102
467	p	194.06925	195.07652	M+H	4.203	4-Aminohippuricacid	C9 H10 N2 O3	20362.9547	37417.73659		36941.34547	7886.29582		79800.66649	31868.22777
468	p	144.12628	145.13358	M+H	4.111	N-(5-Aminopentyl)acetamide	C7 H16 N2 O	10348.36135	62106.88686		5219.957773	1909.990534		1211.510482	6061.084742
469	p	179.09465	180.10193	M+H	3.569	Phenacetin	C10 H13 N O2	66501.31056	25848.1493		60263.05322	27623.09953		30890.19395	19507.9589
470	p	148.12514	149.13242	M+H	0.875	n-Amylbenzene	C11 H16	6207.885366	18235.97188		3023.378289	3116.339603		4356.501145	86415.20638
471	p	283.96517	284.97247	M+H	4.426	284.9725_4.426	C5 H3 N8 O P3	64511.54008	49375.91081		19646.3608	39810.86966		9486.13434	19952.69831
472	p	146.10942	147.1167	M+H	0.878	147.11670_0.878	C11 H14	4651.671748	15081.2159		3602.414728	2815.598857		3654.492585	84713.00092
473	p	189.13657	190.14383	M+H	4.219	190.14383_4.219	C9 H19 N O3	62435.84917	51009.72856		81935.51274	15358.51556		67493.39491	34938.72862
474	p	201.96208	202.96936	M+H	4.434	202.96936_4.434	C3 H8 O4 P2 S	59834.06194	45630.93081		24155.08673	45364.22961		11480.5995	26682.17731
475	p	130.07825	131.08553	M+H	0.875	131.08553_0.875	C10 H10	5602.374979	19254.18327		2209.208437	4174.557977		3556.459868	79049.77068
476	p	120.09402	121.1013	M+H	0.874	1_2_4-Trimethylbenzene	C9 H12	3353.250126	14276.08251		3151.272831	2515.90183		4644.807233	78966.09597
477	p	280.14223	281.14951	M+H	3.81	281.14951_3.81	C8 H21 N6 O3 P	14161.27318	31965.7617		46142.38806	1127.546352		62995.06954	27028.193
478	p	245.07213	246.07956	M+H	1.044	246.07956_1.044	C10 H15 N O4 S	52837.22051	42541.96607		12700.71512	3425.66392		169.5250963	3535.99536
479	p	211.19342	212.2007	M+H	0.883	UNII:6S7S02945H	C13 H25 N O	1922.469058	13882.65122		7630.851938	1548.491893		4999.220284	63566.48414
