ID	Mode	Molecular Weight	m/z	ion	RT [min]	Name	Formula	MA	MB	MC	MD	OA	OB	OC	OD
317	p	200.06207	201.06931	M+H	4.099	201.06931_4.099	C8 H12 N2 O2 S	124986.9771	216946.8772		355478.1382	29623.23099		38678.26766	163499.2318
318	p	162.14073	163.14798	M+H	0.878	"1,3-Diisopropylbenzene"	C12 H18	47600.52278	153763.5112		11700.24539	16541.7409		18395.36969	360855.8074
319	p	169.05992	170.06721	M+H	1.125	"4-Hydroxy-5-[(E)-(hydroxymethylene)amino]-6-iminio-2-imino-1,2,5,6-tetrahydropyrimidin-5-ide"	C5 H7 N5 O2	107731.7844	248532.9688		104416.5623	34801.85839		16595.47297	35595.75204
320	p	77.94916	78.95647	M+H	4.452	78.95647_4.452		269244.0967	191953.6502		253177.4104	350927.4856		194625.6657	264288.7956
321	p	104.03543	105.04262	M+H	4.367	105.04262_4.367		268190.1743	206585.2425		273202.6575	254501.7551		168817.4916	281553.8485
322	p	201.14787	202.15509	M+H	4.595	202.15509_4.595	C9 H19 N3 O2	241967.5158	244048.0226		33933.65406	368847.7964		12285.81154	29467.05597
323	p	367.3085	368.3158	M+H	0.877	368.31580_0.877	C22 H41 N O3	18656.93483	158503.3642		40649.35669	13595.42911		30592.97165	351622.8556
324	p	266.19933	267.2066	M+H	3.418	267.20660_3.418	C15 H26 N2 O2	163663.6692	214685.0657		283751.9506	146560.0977		303882.7053	249159.6202
325	p	168.97855	169.98584	M+H	2.86	169.98584_2.860	C H3 N3 O5 S	152075.7438	238478.739		121705.3233	120404.2539		158339.8165	119769.3936
326	p	173.11652	174.12378	M+H	4.132	L-Indospicine	C7 H15 N3 O2	134688.4958	235402.7397		306752.9229	72001.85268		42311.03285	105557.2515
327	p	159.8942	160.90149	M+H	4.459	160.90149_4.459		255704.269	121734.9834		257852.3556	303480.8047		248125.1522	286435.6927
328	p	187.1209	188.1282	M+H	4.14	8-Amino-7-oxononanoate	C9 H17 N O3	227619.2351	137675.3173		332696.4307	81136.308		156608.5067	231087.9609
329	p	215.15207	216.15958	M+H	1.848	Ethyl N-acetyl-N-butyl-beta-alaninate	C11 H21 N O3	21751.79327	156320.5659		67011.50743	36053.3715		21120.3164	339104.5409
330	p	100.07229	101.07954	M+H	4.596	101.07954_4.596		85513.69465	140656.5345		106511.6337	189159.6518		290202.7004	191129.0027
331	p	197.11645	198.12373	M+H	4.332	"4,4-Dimethyl-5-(methylcarbamoyloxyimino)valeronitrile"	C9 H15 N3 O2	251387.1531	165194.1356		154778.0813	62117.4226		161260.4452	227745.0215
332	p	245.10122	245.10852	M+H	3.479	Asparaginyl-4-hydroxyproline	C9 H15 N3 O5	157357.0185	226631.0158		69781.52808	124927.5858		67895.98608	126741.978
333	p	228.14759	229.15485	M+H	4.177	Prolylleucine	C11 H20 N2 O3	243152.9112	106793.5177		133739.541	60307.64467		44965.85789	123697.4424
334	p	249.88463	250.89186	M+H	4.438	205.89186_4.438	C2 H5 O4 P3 S2	238652.0193	198480.6008		180080.7617	309489.0515		136984.2596	241803.9108
335	p	255.1682	256.17548	M+NH4	1.303	PEG n5		237862.8634	153332.3849		182381.0816	206230.2536		54617.88466	134670.0714
336	p	358.08343	359.09055	M+H	1.765	"4-[(E)-2-{[1-Carboxy-3-(methylsulfinyl)propyl]amino}vinyl]-2,3-dihydro-2,6-pyridinedicarboxylic acid"	C14 H18 N2 O7 S	142232.2731	216916.8926		81273.14239	333.9525993		147318.0342	33344.05869
337	p	229.96926	230.97643	M+H	2.773	230.97643_2.773	C7 H7 Br N2 O2	184723.897	215929.8219		195965.6007	81488.44538		13730.62149	291967.161
338	p	247.15329	248.16051	M+H	3.936	lys-thr	C10 H21 N3 O4	125122.8951	215913.6923		191294.3591	15220.61564		191014.4122	132642.9358
339	p	216.12238	217.12965	M+H	4.039	N-alpha-L-Acetyl-arginine	C8 H16 N4 O3	229696.6242	194681.6683		148994.2704	265147.9183		44006.00491	164666.9726
340	p	233.17402	234.18129	M+H	3.932	Hypusine	C10 H23 N3 O3	229346.7024	151529.5967		195111.8049	25219.83019		174840.6365	181281.9327
341	p	240.11428	241.1217	M+H	1.702	241.12170_1.702	C8 H20 N2 O4 S	227553.65	186953.9698		197225.9638	27184.39993		183881.3354	127032.6143
342	p	241.16757	242.17485	M+H	0.872	"(3R,6R)-6-Hydroxy-8-methyl-8-azabicyclo[3.2.1]oct-3-yl 3-methylbutanoate"	C13 H23 N O3	21588.61772	125026.8389		8735.866005	10215.70193		16819.86161	302834.8468
343	p	120.03264	121.03991	M+H	1.596	121.03991_1.596	C6 H4 N2 O	223713.7756	152376.4993		114548.1874	260928.1937		50625.34817	103971.2464
344	p	100.06422	101.07146	M+H	4.482	101.0715_4.482		220668.7436	202055.6798		227739.5556	76976.09541		211744.3028	188210.1578
345	p	271.21451	272.22177	M+H	0.872	N-Tridecanoylglycine	C15 H29 N O3	18295.64517	97905.7348		8894.270414	8548.773032		11602.56014	293366.497
346	p	481.12006	482.12756	M+H	1.708	482.12756_1.708	C12 H34 N7 O P3 S3	181335.0051	150172.0402		147113.8504	600.4510808		249827.2165	57451.98133
347	p	519.91258	520.91992	M+H	4.375	520.91992_4.375	C13 H6 N4 O13 P2 S	132730.6897	198750.9814		127352.3281	166292.5799		60263.13929	141439.345
348	p	225.08609	226.09329	M+H	1.679	Aciclovir	C8 H11 N5 O3	177397.2704	198515.4216		172900.8652	121012.2923		37245.52827	88624.37546
349	p	197.14141	198.14868	M+H	0.888	198.14868_0.888	C11 H19 N O2	7813.415252	104365.1147		10515.31775	8583.854196		14352.25313	285071.6731
350	p	219.15833	220.16559	M+H	3.881	220.16559_3.881	C9 H21 N3 O3	206327.3415	191578.0783		175895.952	312657.0384		239313.9211	164975.7253
351	p	189.04248	190.0468	M+H	0.949	2-oxo-1_2-dihydroquinoline-4-carboxylate	C10 H7 N O3	31323.46537	189770.3169		54805.00449	15224.58547		26989.52744	34412.13112
352	p	537.96199	538.9693	M+H	4.377	538.9693_4.377	C10 H12 N4 O18 P2	124369.1202	187714.0298		79225.73004	87841.0004		31201.99569	72506.19678
353	p	187.12092	188.12817	M+H	3.726	8-Amino-7-oxononanoate	C9 H17 N O3	109944.153	41058.56981		123020.9204	320781.6393		61170.07984	136352.7782
354	p	288.1797	289.18698	M+H	3.315	N-(1-{[Methyl(2-methyl-2-propanyl)carbamoyl]amino}ethyl)-alpha-asparagine	C12 H24 N4 O4	31920.36261	183817.6289		11990.77723	31157.2986		19910.50745	26453.73093
355	p	527.84253	528.84979	M+H	4.37	528.84979	C6 H3 N4 O17 P3 S	90631.34256	178050.2248		134526.9238	178828.83		97508.45221	146276.1467
356	p	459.91723	460.92444	M+H	4.382	460.92444_4.382	C5 H2 N8 O14 P2	100664.5686	177591.0084		108134.2531	152844.7234		60123.91052	118347.1729
357	p	153.06508	154.07234	M+H	2.309	4-Amino-N'-hydroxypyrimidine-5-carboximidamide	C5 H7 N5 O	13759.28251	13975.13988		19822.97643	302732.0189		18405.59952	21517.10866
358	p	231.11078	231.11078	M+H	1.463	8-[(Carboxymethyl)amino]-8-oxooctanoic acid	C10 H17 N O5	6716.831222	3979.949658		54799.23458	38638.96917		221170.4138	177741.994
359	p	107.04095	108.04823	M+H	3.736	108.04823_3.736	C3 H9 N O S	52370.67831	36959.04888		44609.80441	28437.78212		42486.39473	255029.4865
360	p	211.07048	212.07776	M+H	1.238	"2-Amino-4-oxo-1,4,5,6,7,8-hexahydro-6-pteridinecarboxylic acid"	C7 H9 N5 O3	98176.37407	174719.3158		63140.374	28199.84851		12999.95817	31024.21101
361	p	141.07915	142.0864	M+H	4.029	Guvacoline	C7 H11 N O2	124948.1617	170727.3782		223557.5593	28169.77276		183668.1381	122325.9637
362	p	495.95121	496.95831	M+H	4.373	496.95831_4.373	C8 H10 N4 O17 P2	172131.5698	167782.9435		87557.38955	112138.0524		45276.59316	91400.15084
363	p	203.09846	204.1058	M+H	4.145	204.10580_4.145	C9 H17 N O2 S	171384.7522	167198.7967		105931.6433	37233.88821		143865.4943	108439.9732
364	p	207.93131	208.93858	M+H	4.417	208.93858_4.417	C7 H N2 P S2	181045.0645	104150.2808		169660.0534	164941.1965		118603.6055	179400.7279
365	p	561.92307	562.93042	M+H	4.382	562.93042_4.382	C15 H8 N4 O14 P2 S	103712.0312	163441.4348		92919.15309	111867.7296		44059.63242	92923.16408
366	p	183.91282	184.92014	M+H	4.444	184.92014_4.444		176862.6753	129580.3389		133964.6137	231625.0967		114826.4428	145804.909
367	p	439.35086	440.35818	M+H	0.893	440.35818_0.893	C23 H45 N5 O3	84702.22284	121449.3415		12166.34708	276261.3051		14635.48457	13100.66262
368	p	197.14141	198.1488	M+H	1.857	198.14880_1.857	C11 H19 N O2	15736.53735	108185.8204		50479.8146	27096.85263		16029.28364	232875.5134
369	p	476.16462	477.17212	M+H	1.708	477.17212_1.708	C14 H33 N6 O6 P S2	162538.5903	158979.6818		142342.6579	511.8490019		200425.3693	27732.80072
370	p	208.16992	209.1772	M+H	0.877	209.17720_0.877		16620.39481	50453.77963		7406.026946	7631.828737		11597.82033	230621.5432
371	p	507.83977	508.84705	M+H	4.361	508.84706_4.361	C8 H N2 O18 P S2	170533.2087	154557.9599		127579.807	209575.4673		92884.17819	138380.2656
372	p	199.15712	200.16443	M+H	1.005	200.16443_1.005	C11 H21 N O2	3692.739696	41774.67385		16650.54389	3945.654458		9571.725308	222004.0115
373	p	174.1407	175.14798	M+H	0.872	ionene	C13 H18	12021.94745	97133.608		6836.056124	7559.448945		10788.02792	219714.0446
374	p	253.20386	254.21115	M+H	0.869	254.21115_0.869	C15 H27 N O2	12818.55963	84335.38473		6973.509798	6211.392444		8551.086798	217937.4907
375	p	216.12233	217.12958	M+H	3.911	N-alpha-Acetylarginine	C8 H16 N4 O3	58711.20558	150385.214		158360.5556	81250.518		155205.926	178826.7304
376	p	179.08063	180.08791	M+H	1.854	7-Aminomethyl-7-deazaguanine	C7 H9 N5 O	58205.67206	149699.1874		121841.7951	78462.17393		102572.1148	101861.1161
377	p	229.17919	230.18643	M+H	4.04	230.18643_4.04	C11 H23 N3 O2	158218.3996	16227.37002		36047.61164	20315.7606		20670.79912	74356.8875
378	p	183.12604	184.13335	M+H	4.172	methyprylon	C10 H17 N O2	112523.7815	143406.8583		127464.4822	30895.99528		146601.1623	66683.57867
379	p	214.0737	215.08095	M+H	3.542	215.08095_3.542	C4 H14 N4 O4 S	53705.37456	46872.32778		56395.45046	244827.4429		67519.64384	76672.78604
380	p	213.17273	214.18005	M+H	1.002	214.18005_1.002	C12 H23 N O2	11782.26807	26861.27896		19062.59296	4466.381078		10087.4017	205912.5319
381	p	200.12738	201.1346	M+H	3.989	201.13460_3.989	C8 H16 N4 O2	88179.5758	132338.8259		112077.9028	61026.16068		177265.7384	183337.5777
382	p	461.87062	462.87796	M+H	4.371	462.87796_4.371	C4 H N8 O11 P3 S	109957.9524	141522.8915		121219.4002	162044.7413		118390.8736	134049.2843
383	p	483.87874	484.88602	M+H	4.38	484.88602_4.38	C7 H7 N2 O15 P3 S	93594.54194	140664.8		110537.2367	160592.0269		74576.26304	126571.5835
384	p	255.21956	256.22687	M+H	0.879	256.22687_0.879	C15 H29 N O2	10524.49702	79815.96934		5311.485959	4708.340446		7874.255928	203609.9622
385	p	173.10526	174.11255	M+H	4.231	Hexanoylglycine	C8 H15 N O3	11426.59528	66774.47128		32985.25557	45833.75789		175680.9021	25848.42979
386	p	235.04786	236.05516	M+H	0.936	"7-Methoxy-2-methylene-3-oxo-3,4-dihydro-2H-1,4-benzoxazine-5-carboxylic acid"	C11 H9 N O5	28752.6068	103221.3299		40336.36584	3585.75688		174875.356	15179.86088
387	p	101.08457	102.09184	M+H	4.531	102.09184_4.531		71914.76083	139021.5523		148471.7264	9117.350448		80893.67583	95328.8736
388	p	374.13713	375.14441	M+H	1.684	375.14441_1.684	C13 H24 N6 O3 P2	112878.1304	134879.0884		72477.91492	643.9856492		2717.096086	41771.04918
389	p	216.11119	217.11847	M+H	4.033	gamma-Glutamyl-gamma-aminobutyraldehyde	C9 H16 N2 O4	33552.28891	70138.014		28102.82214	7843.419136		166960.5533	39397.61979
390	p	464.91905	465.92636	M+H	3.499	465.9264_3.499	C7 H15 N O12 S5	77719.8206	23229.50304		188013.4195	34392.67546		42211.59982	114838.669
